State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Pennsylvania,1900,34.8,32.4,37.5,53.7,63,73,79.2,79.2,72.4,61.6,49.3,36.6,56.1
Pennsylvania,1901,33.1,27.1,41.8,50.1,60.5,72.6,79.2,76.9,69.5,57.1,41.3,35.9,53.8
Pennsylvania,1902,31.3,29.7,46.3,52.6,62.5,70.3,75.6,73,67.1,58,50.9,33.7,54.3
Pennsylvania,1903,32.7,36.5,49.4,53.3,65.6,65.8,76.3,70.9,67.7,57.8,42.5,31.7,54.2
Pennsylvania,1904,25.9,27.4,39.4,49.1,65.5,70.8,74.8,73.4,67.5,54.4,43.3,29.8,51.8
Pennsylvania,1905,29.8,26.3,42.9,52.6,63.5,70.8,76.9,73.5,68.5,57.9,45.2,39.2,53.9
Pennsylvania,1906,39.5,33.6,36.7,55.5,64.1,73.2,75.6,76.2,71.3,56.2,47.2,35.3,55.4
Pennsylvania,1907,34.1,27.1,44.1,47.4,57.6,66.8,76.9,73.4,69.7,54.1,46.3,39.3,53.1
Pennsylvania,1908,34.8,31.3,45,54.6,63.6,73.1,78.4,73.4,68.1,60.6,46.3,37.1,55.5
Pennsylvania,1909,35.6,41.3,41.4,53.2,63.2,72.9,75.3,73,67.3,55,50.3,33.3,55.2
Pennsylvania,1910,33.6,34.3,48,57,62.3,69.6,78.2,73.2,70,60.1,43.2,30.3,55
Pennsylvania,1911,37.1,34.8,40.1,50,67.9,71.6,78.5,74.5,68.6,57.3,43.5,41.5,55.5
Pennsylvania,1912,25.4,30.9,39.5,52.5,64.4,70.7,76.2,73,68.8,60.1,48.5,40.3,54.2
Pennsylvania,1913,42.3,34.5,47.6,54.5,63.6,72.5,78,74.5,67,60,48.9,40.3,57
Pennsylvania,1914,35.4,29.1,38.8,51,66.8,72,74,76.1,67.3,61.1,46.2,33.3,54.3
Pennsylvania,1915,36.5,38.8,38.7,57.3,60.9,69.6,76,73.1,71.4,59.4,47.3,35,55.3
Pennsylvania,1916,38.3,31.3,35.5,51.4,64.7,67.9,76.8,76.5,68.5,58.6,46.8,35.7,54.3
Pennsylvania,1917,35.2,31.4,42,52.3,57.1,72.2,76.4,76.7,64.4,53.8,43.4,28,52.7
Pennsylvania,1918,24.1,33.3,44.4,52.2,67.3,69.7,75.3,77.6,65.1,60.6,47.7,40.9,54.9
Pennsylvania,1919,37.7,37.6,45.4,52.4,64,72.1,77.2,73.3,68.8,61.2,46.8,32.5,55.8
Pennsylvania,1920,26.8,31.4,43.7,51.4,60.3,71.2,75.5,74.3,69.6,62.4,46,39.8,54.4
Pennsylvania,1921,36,37.6,52.5,58.5,62.4,73.4,78.6,72.7,72.9,57.7,46.9,35.6,57.1
Pennsylvania,1922,31.2,36.7,43.6,54.1,66.5,73.6,75.5,72.9,69.7,60.6,48.1,36.1,55.7
Pennsylvania,1923,34.4,30,41.3,52.6,62.6,75.8,75.1,73.8,69.6,57.2,46.5,44.5,55.3
Pennsylvania,1924,34.7,32.5,41.6,51.1,59.2,69.3,75.5,75,65,58.7,46.5,36.2,53.8
Pennsylvania,1925,31.7,42.2,46.4,54.9,61.6,78,76.1,74.7,71.2,52.2,45.4,36.6,55.9
Pennsylvania,1926,34.3,33.7,38.9,50.3,63,68,75.7,75.5,67.6,57,46.5,32.3,53.6
Pennsylvania,1927,32.7,40.6,46.4,50.9,61.6,68.6,75.9,70.2,69.4,60.4,50.9,38.9,55.5
Pennsylvania,1928,35.6,35.1,42,50.6,62.4,69.8,77.3,77.2,65.4,59.9,49,40.8,55.4
Pennsylvania,1929,34.2,35.2,48.4,55.1,62.7,72.8,76.7,73.3,70.3,55.9,47.4,38.1,55.8
Pennsylvania,1930,35.6,40.1,43.7,51.2,66.4,75.2,78,75.7,74.1,56.7,47.6,36.7,56.8
Pennsylvania,1931,36.2,37.4,42.3,53.2,64.2,72.9,79.8,76.3,74.1,62.6,54,44.2,58.1
Pennsylvania,1932,46.2,39.6,39.5,52,63.4,72.6,77.3,77.7,70.9,59.6,45.8,40.4,57.1
Pennsylvania,1933,42.7,36.7,41.4,53.8,66.3,74.4,76.6,76,71.3,57.8,44.1,36.2,56.4
Pennsylvania,1934,37.8,22.2,39.9,53.2,66.1,76.2,79.3,73.2,70.8,56,50.6,35.9,55.1
Pennsylvania,1935,31,33,46.1,51.6,60.6,71.5,78.2,75.3,66,57.8,50,31.5,54.4
Pennsylvania,1936,29.9,27.7,48.3,50.2,65.9,71.8,77.3,76,69.5,58.5,43.5,39.6,54.9
Pennsylvania,1937,41.4,35.9,38.7,51.3,65.3,72.6,77.1,77.2,66.4,55,46.2,36,55.3
