State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Arkansas,1900,44.3,40.6,52.4,63.4,70.3,76.6,79.9,81,78.2,66.6,53,46.3,62.7
Arkansas,1901,47,41.4,51.8,59.3,68.8,79.5,83.8,81.1,72.9,64.8,52.4,39.8,61.9
Arkansas,1902,39.2,36.1,54.2,62.7,74.6,78.6,80.4,81.5,69.7,63.9,57.8,41.7,61.7
Arkansas,1903,42.5,42.6,56.5,62,68.6,71.6,80,79.1,71.4,62.4,49,41.6,60.6
Arkansas,1904,41.3,45.6,56.1,58,68.5,76.4,78.6,78.8,76.1,64,53.3,44.1,61.7
Arkansas,1905,34.3,33.5,58.8,62.4,71.8,78.5,77.3,80,75,62.5,54.8,40,60.7
Arkansas,1906,45.1,42.5,46,65.1,69.5,77.6,77.5,78.8,76.5,59.3,51.5,48,61.4
Arkansas,1907,50.5,46,63.1,55.7,64.4,76.3,82.5,82.3,74.9,63.3,50.7,46.2,63
Arkansas,1908,43.9,46,60.9,63.8,70.4,77.1,80.1,80,74.5,60.6,55.1,47.5,63.3
Arkansas,1909,43.9,49.4,54.2,61.7,67.6,77.8,82.5,83,74.8,64.1,60.3,37.1,63
Arkansas,1910,44.1,40.4,62.3,60.4,66.8,74.5,79.1,79,76.9,64,52.6,42.3,61.9
Arkansas,1911,48.3,50.6,57,60.7,72.2,81.7,78.5,78.5,79.5,63.2,47,44.3,63.5
Arkansas,1912,35.1,38.9,46.6,62.7,70.5,73.9,82,79,74.8,64.7,51.9,43.2,60.3
Arkansas,1913,45.1,42.3,51.4,61.8,70,78.2,81.5,82.1,71.7,60.7,58.2,44.8,62.3
Arkansas,1914,47,41.7,51,61.8,70.6,83.9,82.7,78.3,74.6,63.3,54.2,36.9,62.2
Arkansas,1915,40.2,46.3,43.3,65.5,70.3,76.2,80,75.3,76,65.4,55.5,46,61.7
Arkansas,1916,45.2,43.9,54.8,60.7,72.3,76.5,83.6,81.3,72.9,63.3,53.5,43.5,62.6
Arkansas,1917,45,44.8,54.1,61.2,64,76.2,80.1,77.7,72.5,57.9,52.9,35.4,60.1
Arkansas,1918,28.6,48,58.8,60.7,74.1,80.6,80.3,82.8,69,66.5,51,49.5,62.5
