State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
California,1900,50.7,53.6,55.1,53.9,57.1,M,58.2,59.6,63.3,58.7,56.3,50.2,56.1
California,1901,49.8,52.1,55.8,51.8,53.9,M,55.7,56.4,58.5,61.7,57.3,52.9,55.1
California,1902,46.7,52.9,51.6,54.4,55.5,M,59.2,60.6,61.9,59.2,54.8,50.7,55.2
California,1903,47.9,48.9,52.2,53.9,55.2,M,57.2,57.7,61,62.1,56.6,52.4,55
California,1904,50.8,50.8,51.9,57,58.9,M,57.1,57,64,62,58,50.6,56.2
California,1905,51.2,54.1,57,56.5,55.5,M,59.5,58.3,60.4,60.5,56.2,50.7,56.4
California,1906,51.7,55.3,54,56.1,56.2,M,57.5,57.8,59.9,61.7,55.4,49.6,55.9
California,1907,47.1,54.9,51,56.8,56.4,M,58,59.4,60.7,60.6,57.8,52.4,55.9
California,1908,50.9,50.9,54.9,56.6,55.4,M,57.3,57,60.5,58.8,55.5,47.1,55
California,1909,51.5,51.3,51.8,56.6,54.5,M,57.8,57.7,61.6,59.5,55,49.2,55.1
California,1910,46.4,50.3,54.9,57.2,58.7,M,56.5,56.6,57.7,61.2,54.8,52.9,55.2
California,1911,51,49.3,54.4,53.6,55.7,54.6,56.5,56.6,60,60.9,56.9,52.1,55.1
California,1912,51.8,54.7,52.3,52.8,56.9,60.5,58,59.9,63.7,60,57.1,51.8,56.6
California,1913,47.5,52.4,52.7,55.5,56.5,57.9,60.6,62.1,64.4,61.5,55.6,50.2,56.4
California,1914,51.5,53.9,58.4,58.3,56.1,56.6,57.2,58.2,61.1,62,60,48.8,56.8
California,1915,50.8,52.8,57.9,57.1,57.5,59.1,60.4,61.3,62.1,61.3,56.3,53.2,57.5
California,1916,47,55.9,56.6,57.6,56.1,57.1,60.5,58.5,62.4,56.9,54.6,49.5,56.1
California,1917,47.6,52,51.7,55.1,54,58.3,60,57.6,64,62.3,59.1,54.6,56.4
California,1918,52.7,51.9,54.9,57.3,54.6,59.3,58.8,60.9,62.3,64,56.1,50.5,56.9
California,1919,51.2,51.6,52.6,56,56.6,57.9,57.5,58.3,62.3,60.7,57,49.2,55.9
California,1920,52.2,52.8,52.4,54.9,55.3,60.1,57.5,60.1,60.6,60.2,55.5,50.6,56
California,1921,49.5,52.9,54.5,54.9,54.3,61.4,59.8,59.5,63.3,61.5,57.8,52.9,56.9
California,1922,46.7,50.2,52.3,53.5,58,60,60.2,60.4,63.3,60.6,54.3,50.6,55.8
California,1923,48.1,52.2,56.7,56.1,57.2,57.2,60.8,61.7,63.9,62.5,60.8,51.1,57.4
California,1924,50.2,57.1,54.5,57.5,59.1,59.8,59,59.1,62.5,59.5,56.7,47.9,56.9
California,1925,51.4,55.2,55.4,57,59,60.7,61.2,61.1,62.7,62.1,56.6,52.7,57.9
California,1926,47.9,56,60.7,61.6,61.1,59.2,61.1,60.8,61.2,63.4,60.9,51.5,58.8
California,1927,51.3,54,54.2,55.7,58.2,59.8,58.7,59.9,62.4,62.5,58.1,51.8,57.2
California,1928,50.5,55.1,58.2,57.7,58.9,60.5,58.7,58.3,61.4,59.5,56.4,49.6,57.1
California,1929,47.5,51.8,54.2,53.4,56.5,63,61.5,61.1,61.4,63.5,59.7,54.1,57.3
California,1930,49.7,56.6,57.5,59.2,56.1,59.9,58.6,61.5,62.4,63.2,58,52.1,57.9
California,1931,52.3,56.7,59,59,61.9,62,62.3,60.4,62.8,59.8,54.5,49.4,58.3
